"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @newmedia4agents: hmmm, unique brokerage @RealDirect lets users buy &amp; sell real estate with the click of a mouse http://t.co/D6IxLZ2q",FALSE,0,NA,2012-08-17 02:14:51,FALSE,NA,"236284928382341121",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",0,FALSE,FALSE,NA,NA
"@DougPerlson is no robo-broker http://t.co/NA8yECSM",FALSE,0,"DougPerlson",2012-08-16 17:48:12,FALSE,NA,"236157423818272769","17626370","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",1,FALSE,FALSE,NA,NA
"@RealDirect clients Stacy and Kyle are Folding Up the Murphy Bed for Good - today @nytimes The Hunt http://t.co/UG3tWTu6",FALSE,0,"RealDirect",2012-08-10 19:07:04,FALSE,NA,"234002946579365888","63243463","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",0,FALSE,FALSE,NA,NA
"Our listing at 728 Sackett, #1R: NYPost House of the Week http://t.co/xPJfOd2Z",FALSE,0,NA,2012-08-03 16:24:06,FALSE,NA,"231425218248323072",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",0,FALSE,FALSE,NA,NA
"It's no longer about just having a web presence  http://t.co/Zxs2PD1C",FALSE,0,NA,2012-08-01 19:17:49,FALSE,NA,"230744161475756032",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",0,FALSE,FALSE,NA,NA
"OK - so here's the screenshot of best  RealDirect search ever... http://t.co/Wo8RAacF",FALSE,0,NA,2012-07-20 13:57:58,FALSE,NA,"226315011780407296",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RealDirect",2,FALSE,FALSE,NA,NA
"Neighborhood guide @leiafurer takes a tongue-in-cheek look at the @RealDirect business model. http://t.co/P6Mn5pQ9",FALSE,0,NA,2012-07-20 13:34:28,FALSE,NA,"226309098998730754",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",0,FALSE,FALSE,NA,NA
"Best lasso ever on the RealDirect finder!http://bit.ly/Q9uI7J",FALSE,0,NA,2012-07-20 13:25:13,FALSE,NA,"226306772422496256",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RealDirect",0,FALSE,FALSE,NA,NA
"Wonder if @realdirect CEO @dougperlson's neighbors know he has his eye on their apartment. http://t.co/IvkWMDGN",FALSE,0,NA,2012-07-19 15:30:38,FALSE,NA,"225975947222990849",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",1,FALSE,FALSE,NA,NA
"What happens in the first 24 hours your home is on the market? http://t.co/BC1lCvv6",FALSE,0,NA,2012-07-17 13:45:00,FALSE,NA,"225224585329647617",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",2,FALSE,FALSE,NA,NA
"Just listed: 7 East 14th Street #1619 - 1BR, 1BA, 815 sf - $775,000 http://t.co/wagxtMQ0 http://t.co/1NUmYUl9",FALSE,0,NA,2012-07-12 17:11:14,FALSE,NA,"223464545782468608",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",0,FALSE,FALSE,NA,NA
"Just listed: 130 Water Street #3C - 1BR, 1BA, 804 s.f. - $575,000 http://t.co/q1nkWrVK http://t.co/1Jc441kb",FALSE,0,NA,2012-07-11 15:23:01,FALSE,NA,"223074927530614785",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",0,FALSE,FALSE,NA,NA
